Location,Mobile,Action,Date,Time,Points Awarded,Total Points,License Plate
OptSpot Car Wash - Main St,5550729988,CHECKIN,2026-01-30,16:55:38,10,10,HCT3920
OptSpot Car Wash - Main St,5550503935,CHECKIN,2026-01-30,20:51:39,10,60,WOC8452
OptSpot Car Wash - Main St,5550856795,CHECKIN,2026-01-31,08:22:17,10,10,OYC2200
OptSpot Car Wash - Main St,5550512262,BONUS,2026-01-31,17:04:16,50,50,GXB6939
OptSpot Car Wash - Main St,5550915112,REDEEM,2026-01-31,17:48:46,-100,0,AHM5582
OptSpot Car Wash - Main St,5550505612,CHECKIN,2026-01-31,17:53:23,10,55,FCV6022
OptSpot Car Wash - Main St,5550250405,CHECKIN,2026-01-31,18:49:56,10,10,OGU0715
OptSpot Car Wash - Main St,5550487455,CHECKIN,2026-01-31,18:55:28,10,40,LTG4022
OptSpot Car Wash - Main St,5550798207,BONUS,2026-02-01,07:49:45,50,175,WHY6906
OptSpot Car Wash - Main St,5550710526,CHECKIN,2026-02-01,12:04:31,10,10,OBY9626
OptSpot Car Wash - Main St,5550049161,BONUS,2026-02-01,13:15:39,50,50,ZYR8592
OptSpot Car Wash - Main St,5550235612,BONUS,2026-02-01,15:53:33,50,50,BAO9641
OptSpot Car Wash - Main St,5550135461,BONUS,2026-02-01,17:45:38,50,60,JSN5802
OptSpot Car Wash - Main St,5550190556,CHECKIN,2026-02-02,09:19:40,10,10,BJF5355
OptSpot Car Wash - Main St,5550798207,BONUS,2026-02-02,11:14:23,50,225,WHY6906
OptSpot Car Wash - Main St,5550856795,CHECKIN,2026-02-02,12:31:52,10,20,OYC2200
OptSpot Car Wash - Main St,5550719425,CHECKIN,2026-02-02,13:49:03,10,10,CSL1323
OptSpot Car Wash - Main St,5550365746,CHECKIN,2026-02-02,16:07:54,10,80,OYS4715
OptSpot Car Wash - Main St,5550416359,BONUS,2026-02-02,18:14:36,50,50,WBA1275
OptSpot Car Wash - Main St,5550710526,CHECKIN,2026-02-02,19:48:52,10,20,OBY9626
OptSpot Car Wash - Main St,5550531971,BONUS,2026-02-03,07:07:17,50,50,UNA7702
OptSpot Car Wash - Main St,5550993508,CHECKIN,2026-02-03,12:38:44,10,20,YXV4105
OptSpot Car Wash - Main St,5550843776,CHECKIN,2026-02-03,16:57:22,10,10,UKL0981
OptSpot Car Wash - Main St,5550422179,BONUS,2026-02-03,18:53:33,25,55,SUC3139
OptSpot Car Wash - Main St,5550709570,CHECKIN,2026-02-04,12:17:45,10,10,TOP0520
OptSpot Car Wash - Main St,5550007540,BONUS,2026-02-04,20:04:07,50,60,BQF0514
OptSpot Car Wash - Main St,5550801280,CHECKIN,2026-02-05,08:57:31,10,75,GIA7055
OptSpot Car Wash - Main St,5550711163,CHECKIN,2026-02-05,11:02:34,10,220,RMR0744
OptSpot Car Wash - Main St,5550669975,REDEEM,2026-02-05,14:25:05,-100,0,ZRL4949
OptSpot Car Wash - Main St,5550030271,BONUS,2026-02-05,16:48:55,50,50,ZPG2594
OptSpot Car Wash - Main St,5550088914,REDEEM,2026-02-05,16:50:23,-50,0,HRQ1530
OptSpot Car Wash - Main St,5550704314,CHECKIN,2026-02-05,17:08:57,10,70,QLN1982
OptSpot Car Wash - Main St,5550071942,CHECKIN,2026-02-05,18:53:17,10,10,VOP3817
OptSpot Car Wash - Main St,5550307419,CHECKIN,2026-02-05,19:25:30,10,10,VQW9459
OptSpot Car Wash - Main St,5550007540,CHECKIN,2026-02-06,11:22:20,10,70,BQF0514
OptSpot Car Wash - Main St,5550557772,CHECKIN,2026-02-06,12:53:10,10,10,JFL2541
OptSpot Car Wash - Main St,5550032146,CHECKIN,2026-02-06,14:18:44,10,10,CNJ7432
OptSpot Car Wash - Main St,5550296745,CHECKIN,2026-02-06,15:14:53,10,60,ZVH5912
OptSpot Car Wash - Main St,5550512262,CHECKIN,2026-02-06,18:22:30,10,60,GXB6939
OptSpot Car Wash - Main St,5550422179,REDEEM,2026-02-06,20:19:17,-100,0,SUC3139
OptSpot Car Wash - Main St,5550416359,CHECKIN,2026-02-07,08:56:22,10,60,WBA1275
OptSpot Car Wash - Main St,5550213446,REDEEM,2026-02-07,10:52:24,-50,0,GDH7941
OptSpot Car Wash - Main St,5550915112,CHECKIN,2026-02-07,11:57:55,10,10,AHM5582
OptSpot Car Wash - Main St,5550505612,CHECKIN,2026-02-07,14:29:48,10,65,FCV6022
OptSpot Car Wash - Main St,5550505612,CHECKIN,2026-02-07,16:14:06,10,75,FCV6022
OptSpot Car Wash - Main St,5550669975,CHECKIN,2026-02-07,16:18:49,10,10,ZRL4949
OptSpot Car Wash - Main St,5550856795,CHECKIN,2026-02-07,16:29:30,10,30,OYC2200
OptSpot Car Wash - Main St,5550614953,CHECKIN,2026-02-07,17:23:43,10,10,YOR6730
OptSpot Car Wash - Main St,5550107798,REDEEM,2026-02-07,17:50:02,-100,0,DFP1234
OptSpot Car Wash - Main St,5550562336,BONUS,2026-02-07,17:54:05,50,60,LKH4092
OptSpot Car Wash - Main St,5550803265,CHECKIN,2026-02-07,17:54:57,10,50,YXG1102
OptSpot Car Wash - Main St,5550085965,CHECKIN,2026-02-07,19:14:24,10,30,KPN4272
OptSpot Car Wash - Main St,5550030271,CHECKIN,2026-02-07,19:21:36,10,60,ZPG2594
OptSpot Car Wash - Main St,5550916043,CHECKIN,2026-02-07,20:13:23,10,10,RTW0842
OptSpot Car Wash - Main St,5550856795,CHECKIN,2026-02-08,10:15:10,10,40,OYC2200
OptSpot Car Wash - Main St,5550616338,CHECKIN,2026-02-08,11:06:17,10,105,EZL0907
OptSpot Car Wash - Main St,5550528373,CHECKIN,2026-02-08,11:33:35,10,10,ZGX9438
OptSpot Car Wash - Main St,5550503935,CHECKIN,2026-02-08,11:51:11,10,70,WOC8452
OptSpot Car Wash - Main St,5550861574,REFERRAL,2026-02-08,13:05:48,100,160,RAY1800
OptSpot Car Wash - Main St,5550710526,CHECKIN,2026-02-08,16:16:08,10,30,OBY9626
OptSpot Car Wash - Main St,5550487455,CHECKIN,2026-02-08,17:01:46,10,50,LTG4022
OptSpot Car Wash - Main St,5550306327,CHECKIN,2026-02-08,17:14:12,10,50,SDW8042
OptSpot Car Wash - Main St,5550719425,CHECKIN,2026-02-09,11:11:11,10,20,CSL1323
OptSpot Car Wash - Main St,5550346859,BONUS,2026-02-09,12:43:56,50,75,JLH3777
OptSpot Car Wash - Main St,5550704314,CHECKIN,2026-02-09,13:03:50,10,80,QLN1982
OptSpot Car Wash - Main St,5550916043,CHECKIN,2026-02-09,18:48:44,10,20,RTW0842
OptSpot Car Wash - Main St,5550710526,CHECKIN,2026-02-09,18:57:43,10,40,OBY9626
OptSpot Car Wash - Main St,5550707617,BONUS,2026-02-09,19:01:31,50,50,GAW9198
OptSpot Car Wash - Main St,5550007540,BONUS,2026-02-10,12:43:35,50,120,BQF0514
OptSpot Car Wash - Main St,5550875467,CHECKIN,2026-02-10,13:30:17,10,10,CAO5733
OptSpot Car Wash - Main St,5550286436,CHECKIN,2026-02-10,17:14:02,10,10,FNI1816
OptSpot Car Wash - Main St,5550710526,CHECKIN,2026-02-10,18:52:43,10,50,OBY9626
OptSpot Car Wash - Main St,5550711163,CHECKIN,2026-02-10,20:53:35,10,230,RMR0744
OptSpot Car Wash - Main St,5550032146,CHECKIN,2026-02-11,07:19:22,10,20,CNJ7432
OptSpot Car Wash - Main St,5550306327,CHECKIN,2026-02-11,11:00:47,10,60,SDW8042
OptSpot Car Wash - Main St,5550187143,CHECKIN,2026-02-11,11:18:18,10,20,ZKD3648
OptSpot Car Wash - Main St,5550007540,REDEEM,2026-02-11,11:52:36,-50,70,BQF0514
OptSpot Car Wash - Main St,5550364301,BONUS,2026-02-11,14:51:18,50,50,SOH4914
OptSpot Car Wash - Main St,5550498216,REDEEM,2026-02-11,16:18:00,-50,0,PTL9431
OptSpot Car Wash - Main St,5550346859,CHECKIN,2026-02-11,17:47:12,10,85,JLH3777
OptSpot Car Wash - Main St,5550801280,CHECKIN,2026-02-11,18:02:52,10,85,GIA7055
OptSpot Car Wash - Main St,5550296745,CHECKIN,2026-02-11,18:15:02,10,70,ZVH5912
OptSpot Car Wash - Main St,5550030271,CHECKIN,2026-02-12,10:41:09,10,70,ZPG2594
OptSpot Car Wash - Main St,5550346859,CHECKIN,2026-02-12,11:22:39,10,95,JLH3777
OptSpot Car Wash - Main St,5550914533,CHECKIN,2026-02-12,11:30:35,10,10,BMF7541
OptSpot Car Wash - Main St,5550316869,CHECKIN,2026-02-12,12:07:04,10,10,QDB0609
OptSpot Car Wash - Main St,5550643378,CHECKIN,2026-02-12,19:45:38,10,60,ROP4381
OptSpot Car Wash - Main St,5550088914,CHECKIN,2026-02-13,09:35:37,10,10,HRQ1530
OptSpot Car Wash - Main St,5550346859,CHECKIN,2026-02-13,09:45:17,10,105,JLH3777
OptSpot Car Wash - Main St,5550705477,CHECKIN,2026-02-13,18:45:48,10,10,IUD0757
OptSpot Car Wash - Main St,5550579364,REDEEM,2026-02-14,07:37:21,-50,0,DDI0653
OptSpot Car Wash - Main St,5550603727,REDEEM,2026-02-14,10:07:44,-100,0,LKQ4743
OptSpot Car Wash - Main St,5550030271,CHECKIN,2026-02-14,12:45:18,10,80,ZPG2594
OptSpot Car Wash - Main St,5550666549,CHECKIN,2026-02-14,13:31:19,10,20,KJT5850
OptSpot Car Wash - Main St,5550798207,CHECKIN,2026-02-14,16:08:17,10,235,WHY6906
OptSpot Car Wash - Main St,5550416359,CHECKIN,2026-02-14,17:32:35,10,70,WBA1275
OptSpot Car Wash - Main St,5550603727,CHECKIN,2026-02-14,17:53:50,10,10,LKQ4743
OptSpot Car Wash - Main St,5550505612,CHECKIN,2026-02-14,19:15:32,10,85,FCV6022
OptSpot Car Wash - Main St,5550938095,CHECKIN,2026-02-14,19:36:04,10,10,YIE8151
OptSpot Car Wash - Main St,5550203322,CHECKIN,2026-02-14,20:04:06,10,20,XJS2419
OptSpot Car Wash - Main St,5550306327,CHECKIN,2026-02-14,20:38:54,10,70,SDW8042
OptSpot Car Wash - Main St,5550046228,CHECKIN,2026-02-15,07:28:23,10,70,AUQ4291
OptSpot Car Wash - Main St,5550346859,CHECKIN,2026-02-15,09:18:40,10,115,JLH3777
OptSpot Car Wash - Main St,5550083958,REDEEM,2026-02-15,09:56:07,-50,0,IHL6981
OptSpot Car Wash - Main St,5550666549,CHECKIN,2026-02-15,11:13:30,10,30,KJT5850
OptSpot Car Wash - Main St,5550589704,BONUS,2026-02-15,11:16:20,25,25,KKN6363
OptSpot Car Wash - Main St,5550433377,REFERRAL,2026-02-15,11:56:07,100,100,IMR2252
OptSpot Car Wash - Main St,5550963110,CHECKIN,2026-02-15,12:34:44,10,35,AIA5947
OptSpot Car Wash - Main St,5550682139,CHECKIN,2026-02-15,16:27:04,10,60,FZI0969
OptSpot Car Wash - Main St,5550007540,CHECKIN,2026-02-15,17:25:41,10,80,BQF0514
OptSpot Car Wash - Main St,5550803265,CHECKIN,2026-02-15,17:28:56,10,60,YXG1102
OptSpot Car Wash - Main St,5550505612,BONUS,2026-02-15,19:26:13,25,110,FCV6022
OptSpot Car Wash - Main St,5550613762,CHECKIN,2026-02-16,08:42:52,10,10,LVZ7700
OptSpot Car Wash - Main St,5550320015,BONUS,2026-02-16,13:34:57,50,50,VWF3164
OptSpot Car Wash - Main St,5550416359,CHECKIN,2026-02-16,16:30:44,10,80,WBA1275
OptSpot Car Wash - Main St,5550704314,BONUS,2026-02-16,17:19:17,50,130,QLN1982
OptSpot Car Wash - Main St,5550710526,REDEEM,2026-02-16,17:56:00,-50,0,OBY9626
OptSpot Car Wash - Main St,5550601334,BONUS,2026-02-16,20:56:00,25,60,RJZ5654
OptSpot Car Wash - Main St,5550707617,CHECKIN,2026-02-17,12:15:50,10,60,GAW9198
OptSpot Car Wash - Main St,5550798207,CHECKIN,2026-02-17,15:16:53,10,245,WHY6906
OptSpot Car Wash - Main St,5550613762,CHECKIN,2026-02-17,17:00:25,10,20,LVZ7700
OptSpot Car Wash - Main St,5550738797,REFERRAL,2026-02-17,19:25:37,100,155,BRU1307
OptSpot Car Wash - Main St,5550916043,CHECKIN,2026-02-18,07:43:47,10,30,RTW0842
OptSpot Car Wash - Main St,5550756321,BONUS,2026-02-18,08:00:46,25,25,FDN3033
OptSpot Car Wash - Main St,5550235612,REDEEM,2026-02-18,10:13:49,-50,0,BAO9641
OptSpot Car Wash - Main St,5550286193,CHECKIN,2026-02-18,10:15:57,10,15,LAI6624
OptSpot Car Wash - Main St,5550286193,CHECKIN,2026-02-18,12:07:45,10,25,LAI6624
OptSpot Car Wash - Main St,5550220281,CHECKIN,2026-02-18,16:10:54,10,10,RRJ9173
OptSpot Car Wash - Main St,5550286193,BONUS,2026-02-18,16:28:11,50,75,LAI6624
OptSpot Car Wash - Main St,5550306327,REDEEM,2026-02-18,17:15:30,-100,0,SDW8042
OptSpot Car Wash - Main St,5550032146,CHECKIN,2026-02-18,20:15:40,10,30,CNJ7432
OptSpot Car Wash - Main St,5550507699,CHECKIN,2026-02-19,07:17:09,10,10,EGO3684
OptSpot Car Wash - Main St,5550235612,REDEEM,2026-02-19,08:05:42,-50,0,BAO9641
OptSpot Car Wash - Main St,5550345705,CHECKIN,2026-02-19,10:41:58,10,30,CRH9874
OptSpot Car Wash - Main St,5550622795,REFERRAL,2026-02-19,12:05:17,100,100,APS0797
OptSpot Car Wash - Main St,5550800177,CHECKIN,2026-02-19,12:46:58,10,10,TMQ4557
OptSpot Car Wash - Main St,5550071744,CHECKIN,2026-02-19,18:08:57,10,20,GRH3727
OptSpot Car Wash - Main St,5550643378,CHECKIN,2026-02-19,18:10:38,10,70,ROP4381
OptSpot Car Wash - Main St,5550997373,CHECKIN,2026-02-19,19:44:45,10,60,FYM3711
OptSpot Car Wash - Main St,5550797615,CHECKIN,2026-02-20,07:34:02,10,10,JOI7642
OptSpot Car Wash - Main St,5550119946,REDEEM,2026-02-20,10:44:51,-100,0,OFS6043
OptSpot Car Wash - Main St,5550222086,CHECKIN,2026-02-20,11:24:26,10,10,YTR5107
OptSpot Car Wash - Main St,5550119946,BONUS,2026-02-20,11:28:09,50,50,OFS6043
OptSpot Car Wash - Main St,5550643378,CHECKIN,2026-02-20,11:34:38,10,80,ROP4381
OptSpot Car Wash - Main St,5550704314,REDEEM,2026-02-20,14:41:40,-100,30,QLN1982
OptSpot Car Wash - Main St,5550085965,CHECKIN,2026-02-20,16:23:22,10,40,KPN4272
OptSpot Car Wash - Main St,5550589704,CHECKIN,2026-02-20,16:32:23,10,35,KKN6363
OptSpot Car Wash - Main St,5550738797,BONUS,2026-02-20,16:52:17,25,180,BRU1307
OptSpot Car Wash - Main St,5550030271,CHECKIN,2026-02-20,17:37:08,10,90,ZPG2594
OptSpot Car Wash - Main St,5550999914,CHECKIN,2026-02-20,17:50:10,10,110,DXB1398
OptSpot Car Wash - Main St,5550307419,CHECKIN,2026-02-20,18:46:38,10,20,VQW9459
OptSpot Car Wash - Main St,5550235612,CHECKIN,2026-02-21,08:39:49,10,10,BAO9641
OptSpot Car Wash - Main St,5550614953,CHECKIN,2026-02-21,10:06:56,10,20,YOR6730
OptSpot Car Wash - Main St,5550074299,BONUS,2026-02-21,10:31:41,50,50,NHM8834
OptSpot Car Wash - Main St,5550918938,CHECKIN,2026-02-21,11:36:21,10,50,SFM7517
OptSpot Car Wash - Main St,5550071744,CHECKIN,2026-02-21,12:15:02,10,30,GRH3727
OptSpot Car Wash - Main St,5550654813,CHECKIN,2026-02-21,12:38:31,10,50,SPV9234
OptSpot Car Wash - Main St,5550916043,CHECKIN,2026-02-21,13:00:19,10,40,RTW0842
OptSpot Car Wash - Main St,5550654813,CHECKIN,2026-02-21,13:01:17,10,60,SPV9234
OptSpot Car Wash - Main St,5550507699,CHECKIN,2026-02-21,14:55:44,10,20,EGO3684
OptSpot Car Wash - Main St,5550119946,CHECKIN,2026-02-21,15:55:41,10,60,OFS6043
OptSpot Car Wash - Main St,5550076819,CHECKIN,2026-02-21,16:18:18,10,30,NND5718
OptSpot Car Wash - Main St,5550875522,BONUS,2026-02-21,16:37:26,25,25,DYP6934
OptSpot Car Wash - Main St,5550916043,CHECKIN,2026-02-21,17:15:53,10,50,RTW0842
OptSpot Car Wash - Main St,5550847975,REFERRAL,2026-02-21,17:18:31,100,100,BDK9239
OptSpot Car Wash - Main St,5550007540,CHECKIN,2026-02-21,17:28:19,10,90,BQF0514
OptSpot Car Wash - Main St,5550945497,CHECKIN,2026-02-21,17:44:28,10,10,ZJK3109
OptSpot Car Wash - Main St,5550969209,REDEEM,2026-02-21,18:49:58,-50,0,UGC6955
OptSpot Car Wash - Main St,5550562093,CHECKIN,2026-02-21,18:53:56,10,10,ANG2352
OptSpot Car Wash - Main St,5550238596,CHECKIN,2026-02-21,19:10:13,10,10,SPE6229
OptSpot Car Wash - Main St,5550999914,CHECKIN,2026-02-21,20:15:19,10,120,DXB1398
OptSpot Car Wash - Main St,5550032146,REFERRAL,2026-02-22,09:04:17,100,130,CNJ7432
OptSpot Car Wash - Main St,5550738797,CHECKIN,2026-02-22,10:21:42,10,190,BRU1307
OptSpot Car Wash - Main St,5550118959,CHECKIN,2026-02-22,11:24:53,10,70,AEN9202
OptSpot Car Wash - Main St,5550032146,CHECKIN,2026-02-22,12:01:03,10,140,CNJ7432
OptSpot Car Wash - Main St,5550996971,REDEEM,2026-02-22,12:45:47,-100,20,ATV9441
OptSpot Car Wash - Main St,5550889208,BONUS,2026-02-22,14:01:33,50,50,DXN6691
OptSpot Car Wash - Main St,5550634487,CHECKIN,2026-02-22,15:28:05,10,180,DLJ7273
OptSpot Car Wash - Main St,5550856113,REDEEM,2026-02-22,16:29:10,-100,0,AFB6941
OptSpot Car Wash - Main St,5550498216,CHECKIN,2026-02-22,18:18:23,10,10,PTL9431
OptSpot Car Wash - Main St,5550266314,REDEEM,2026-02-22,19:17:41,-100,0,LRX7622
OptSpot Car Wash - Main St,5550196694,CHECKIN,2026-02-23,07:31:33,10,10,NQM7242
OptSpot Car Wash - Main St,5550250405,CHECKIN,2026-02-23,08:10:19,10,20,OGU0715
OptSpot Car Wash - Main St,5550076819,REFERRAL,2026-02-23,08:36:59,100,130,NND5718
OptSpot Car Wash - Main St,5550365746,CHECKIN,2026-02-23,10:54:24,10,90,OYS4715
OptSpot Car Wash - Main St,5550584929,CHECKIN,2026-02-23,13:46:27,10,10,YTF8341
OptSpot Car Wash - Main St,5550643378,CHECKIN,2026-02-23,16:24:33,10,90,ROP4381
OptSpot Car Wash - Main St,5550222086,REDEEM,2026-02-23,16:47:23,-50,0,YTR5107
OptSpot Car Wash - Main St,5550881334,CHECKIN,2026-02-23,17:24:33,10,10,MDQ0441
OptSpot Car Wash - Main St,5550277746,CHECKIN,2026-02-23,17:52:22,10,10,DTO9577
OptSpot Car Wash - Main St,5550408396,CHECKIN,2026-02-23,20:56:38,10,10,XPS9432
OptSpot Car Wash - Main St,5550683984,REDEEM,2026-02-24,08:07:03,-100,0,ONS0611
OptSpot Car Wash - Main St,5550707617,BONUS,2026-02-24,11:51:25,50,110,GAW9198
OptSpot Car Wash - Main St,5550277746,REDEEM,2026-02-24,12:58:03,-50,0,DTO9577
OptSpot Car Wash - Main St,5550503935,CHECKIN,2026-02-24,14:50:06,10,80,WOC8452
OptSpot Car Wash - Main St,5550704314,CHECKIN,2026-02-24,15:12:55,10,40,QLN1982
OptSpot Car Wash - Main St,5550250405,CHECKIN,2026-02-24,15:54:44,10,30,OGU0715
OptSpot Car Wash - Main St,5550464656,CHECKIN,2026-02-24,17:17:56,10,20,VWC8856
OptSpot Car Wash - Main St,5550584929,CHECKIN,2026-02-24,17:28:43,10,20,YTF8341
OptSpot Car Wash - Main St,5550678998,BONUS,2026-02-24,17:31:07,50,50,IWV1729
OptSpot Car Wash - Main St,5550735392,REDEEM,2026-02-24,17:50:51,-100,0,OFP0106
OptSpot Car Wash - Main St,5550704314,CHECKIN,2026-02-24,18:14:56,10,50,QLN1982
OptSpot Car Wash - Main St,5550480292,CHECKIN,2026-02-24,19:57:24,10,10,QAZ6580
OptSpot Car Wash - Main St,5550296745,REDEEM,2026-02-24,20:14:55,-50,20,ZVH5912
OptSpot Car Wash - Main St,5550487192,CHECKIN,2026-02-24,20:39:42,10,30,ZME2209
OptSpot Car Wash - Main St,5550643378,CHECKIN,2026-02-25,11:45:17,10,100,ROP4381
OptSpot Car Wash - Main St,5550704314,CHECKIN,2026-02-25,15:04:36,10,60,QLN1982
OptSpot Car Wash - Main St,5550250405,BONUS,2026-02-25,17:28:00,50,80,OGU0715
OptSpot Car Wash - Main St,5550286193,CHECKIN,2026-02-25,18:35:56,10,85,LAI6624
OptSpot Car Wash - Main St,5550677406,REDEEM,2026-02-26,07:09:31,-100,0,RNA5060
OptSpot Car Wash - Main St,5550364301,CHECKIN,2026-02-26,09:00:37,10,60,SOH4914
OptSpot Car Wash - Main St,5550738797,CHECKIN,2026-02-26,17:21:04,10,200,BRU1307
OptSpot Car Wash - Main St,5550856113,CHECKIN,2026-02-26,18:57:25,10,10,AFB6941
OptSpot Car Wash - Main St,5550220281,CHECKIN,2026-02-26,20:26:42,10,20,RRJ9173
OptSpot Car Wash - Main St,5550498216,BONUS,2026-02-27,08:13:41,50,60,PTL9431
OptSpot Car Wash - Main St,5550289666,CHECKIN,2026-02-27,08:23:30,10,110,UWI8318
OptSpot Car Wash - Main St,5550007540,CHECKIN,2026-02-27,12:33:33,10,100,BQF0514
OptSpot Car Wash - Main St,5550579364,CHECKIN,2026-02-27,12:39:29,10,10,DDI0653
OptSpot Car Wash - Main St,5550557772,CHECKIN,2026-02-27,15:18:41,10,20,JFL2541
OptSpot Car Wash - Main St,5550999914,CHECKIN,2026-02-27,16:36:17,10,130,DXB1398
OptSpot Car Wash - Main St,5550868524,BONUS,2026-02-27,17:02:44,50,85,NMO7780
OptSpot Car Wash - Main St,5550557772,CHECKIN,2026-02-27,17:09:47,10,30,JFL2541
OptSpot Car Wash - Main St,5550250405,CHECKIN,2026-02-27,19:21:27,10,90,OGU0715
OptSpot Car Wash - Main St,5550306327,CHECKIN,2026-02-27,19:56:21,10,10,SDW8042
OptSpot Car Wash - Main St,5550683984,REDEEM,2026-02-28,07:55:02,-100,0,ONS0611
OptSpot Car Wash - Main St,5550710526,CHECKIN,2026-02-28,09:01:14,10,10,OBY9626
OptSpot Car Wash - Main St,5550235612,BONUS,2026-02-28,09:22:38,50,60,BAO9641
OptSpot Car Wash - Main St,5550222086,CHECKIN,2026-02-28,11:54:05,10,10,YTR5107
OptSpot Car Wash - Main St,5550738797,CHECKIN,2026-02-28,12:01:22,10,210,BRU1307
OptSpot Car Wash - Main St,5550732052,CHECKIN,2026-02-28,12:58:04,10,30,KHF5514
OptSpot Car Wash - Main St,5550277746,CHECKIN,2026-02-28,13:26:06,10,10,DTO9577
OptSpot Car Wash - Main St,5550797615,CHECKIN,2026-02-28,14:38:45,10,20,JOI7642
OptSpot Car Wash - Main St,5550331535,CHECKIN,2026-02-28,15:20:05,10,20,YYA9224
OptSpot Car Wash - Main St,5550938095,CHECKIN,2026-02-28,15:36:32,10,20,YIE8151
OptSpot Car Wash - Main St,5550174446,CHECKIN,2026-02-28,16:30:03,10,10,SXB0919
OptSpot Car Wash - Main St,5550856113,BONUS,2026-02-28,17:06:06,25,35,AFB6941
OptSpot Car Wash - Main St,5550289666,CHECKIN,2026-02-28,18:34:46,10,120,UWI8318
OptSpot Car Wash - Main St,5550498216,CHECKIN,2026-02-28,18:36:18,10,70,PTL9431
OptSpot Car Wash - Main St,5550643378,CHECKIN,2026-03-01,07:32:16,10,110,ROP4381
OptSpot Car Wash - Main St,5550427940,REDEEM,2026-03-01,08:22:56,-50,0,YHR3559
OptSpot Car Wash - Main St,5550339320,BONUS,2026-03-01,10:30:44,50,120,YAJ7319
OptSpot Car Wash - Main St,5550776513,CHECKIN,2026-03-01,10:58:39,10,10,BLO0924
OptSpot Car Wash - Main St,5550719425,REDEEM,2026-03-01,11:06:58,-100,0,CSL1323
OptSpot Car Wash - Main St,5550222086,BONUS,2026-03-01,11:10:30,25,35,YTR5107
OptSpot Car Wash - Main St,5550007540,BONUS,2026-03-01,11:37:29,50,150,BQF0514
OptSpot Car Wash - Main St,5550479187,CHECKIN,2026-03-01,13:44:05,10,20,DXD5218
OptSpot Car Wash - Main St,5550777236,CHECKIN,2026-03-01,13:59:39,10,20,LSO1832
OptSpot Car Wash - Main St,5550707160,CHECKIN,2026-03-01,15:26:12,10,10,TEW6643
OptSpot Car Wash - Main St,5550969209,CHECKIN,2026-03-01,16:20:56,10,10,UGC6955
OptSpot Car Wash - Main St,5550306327,CHECKIN,2026-03-01,17:23:31,10,20,SDW8042
OptSpot Car Wash - Main St,5550008574,CHECKIN,2026-03-01,18:59:27,10,10,WLW5992
OptSpot Car Wash - Main St,5550428184,BONUS,2026-03-02,09:33:50,50,50,IRW5403
OptSpot Car Wash - Main St,5550033276,REDEEM,2026-03-02,09:59:12,-50,0,HED6887
OptSpot Car Wash - Main St,5550881334,CHECKIN,2026-03-02,11:07:06,10,20,MDQ0441
OptSpot Car Wash - Main St,5550512262,CHECKIN,2026-03-02,11:35:43,10,70,GXB6939
OptSpot Car Wash - Main St,5550174446,CHECKIN,2026-03-02,11:52:57,10,20,SXB0919
OptSpot Car Wash - Main St,5550831131,CHECKIN,2026-03-02,18:06:50,10,10,HTO4728
OptSpot Car Wash - Main St,5550710526,CHECKIN,2026-03-02,18:58:00,10,20,OBY9626
OptSpot Car Wash - Main St,5550710526,CHECKIN,2026-03-03,08:52:41,10,30,OBY9626
OptSpot Car Wash - Main St,5550634487,CHECKIN,2026-03-03,11:08:28,10,190,DLJ7273
OptSpot Car Wash - Main St,5550711163,CHECKIN,2026-03-03,13:45:12,10,240,RMR0744
OptSpot Car Wash - Main St,5550669975,CHECKIN,2026-03-03,15:12:48,10,20,ZRL4949
OptSpot Car Wash - Main St,5550030271,CHECKIN,2026-03-03,15:32:16,10,100,ZPG2594
OptSpot Car Wash - Main St,5550422179,CHECKIN,2026-03-03,16:24:27,10,10,SUC3139
OptSpot Car Wash - Main St,5550732409,CHECKIN,2026-03-03,16:33:29,10,10,RDS1388
OptSpot Car Wash - Main St,5550346859,CHECKIN,2026-03-03,16:58:05,10,125,JLH3777
OptSpot Car Wash - Main St,5550088914,CHECKIN,2026-03-03,17:35:49,10,20,HRQ1530
OptSpot Car Wash - Main St,5550289666,CHECKIN,2026-03-03,18:17:12,10,130,UWI8318
OptSpot Car Wash - Main St,5550614953,CHECKIN,2026-03-03,18:20:55,10,30,YOR6730
OptSpot Car Wash - Main St,5550589704,CHECKIN,2026-03-04,07:47:26,10,45,KKN6363
OptSpot Car Wash - Main St,5550071942,CHECKIN,2026-03-04,11:04:57,10,20,VOP3817
OptSpot Car Wash - Main St,5550076819,CHECKIN,2026-03-04,11:14:11,10,140,NND5718
OptSpot Car Wash - Main St,5550776513,CHECKIN,2026-03-04,11:25:57,10,20,BLO0924
OptSpot Car Wash - Main St,5550707160,CHECKIN,2026-03-04,11:57:27,10,20,TEW6643
OptSpot Car Wash - Main St,5550650810,CHECKIN,2026-03-04,14:40:55,10,10,TYG2662
OptSpot Car Wash - Main St,5550085965,CHECKIN,2026-03-04,15:04:02,10,50,KPN4272
OptSpot Car Wash - Main St,5550713449,CHECKIN,2026-03-04,15:55:25,10,10,PDC6114
OptSpot Car Wash - Main St,5550007540,BONUS,2026-03-04,17:18:26,50,200,BQF0514
OptSpot Car Wash - Main St,5550707160,CHECKIN,2026-03-04,17:33:39,10,30,TEW6643
OptSpot Car Wash - Main St,5550277746,CHECKIN,2026-03-04,18:25:26,10,20,DTO9577
